run_id	train_energy	valid_energy	test_energy	total_energy	v_map@5	v_ndcg@5	v_prec@5	v_recall@5	v_map@10	v_ndcg@10	v_prec@10	v_recall@10	v_map@20	v_ndcg@20	v_prec@20	v_recall@20	v_map@50	v_ndcg@50	v_prec@50	v_recall@50	t_map@5	t_ndcg@5	t_prec@5	t_recall@5	t_map@10	t_ndcg@10	t_prec@10	t_recall@10	t_map@20	t_ndcg@20	t_prec@20	t_recall@20	t_map@50	t_ndcg@50	t_prec@50	t_recall@50
FREEDOM-sports(883, 0.001, 2, 3, I)	0.06229326263697976	0.11203885066061073	0.11225649569081127	0.28658860898840177	0.0229	0.0284	0.0095	0.0429	0.0262	0.0367	0.0076	0.0682	0.0299	0.0462	0.0054	0.1035	0.0318	0.0588	0.0035	0.1665	0.0229	0.0284	0.0095	0.0429	0.0262	0.0367	0.0076	0.0682	0.0286	0.0457	0.0057	0.1031	0.0307	0.0590	0.0038	0.1688
FREEDOM-sports(883, 0.001, 3, 2, I)	0.05282609583044612	0.1686878939786279	0.3142443035236796	0.5357582933327536	0.0220	0.0276	0.0093	0.0425	0.0252	0.0356	0.0074	0.0669	0.0291	0.0451	0.0053	0.1012	0.0310	0.0573	0.0034	0.1622	0.0220	0.0276	0.0093	0.0425	0.0252	0.0356	0.0074	0.0669	0.0276	0.0446	0.0057	0.1015	0.0297	0.0579	0.0038	0.1674
FREEDOM-sports(883, 0.001, 3, 3, I)	0.07370740740469506	0.11363998811172282	0.1865562931133472	0.3739036886297651	0.0221	0.0275	0.0093	0.0418	0.0253	0.0355	0.0074	0.0662	0.0294	0.0457	0.0054	0.1026	0.0313	0.0578	0.0035	0.1631	0.0221	0.0275	0.0093	0.0418	0.0253	0.0355	0.0074	0.0662	0.0277	0.0445	0.0056	0.1012	0.0298	0.0580	0.0038	0.1677
FREEDOM-sports(883, 0.01, 2, 2, I)	0.048230313558322246	0.30714565845319164	0.37999000012231426	0.7353659721338281	0.0225	0.0279	0.0093	0.0422	0.0258	0.0363	0.0075	0.0677	0.0292	0.0456	0.0054	0.1029	0.0311	0.0580	0.0035	0.1654	0.0225	0.0279	0.0093	0.0422	0.0258	0.0363	0.0075	0.0677	0.0283	0.0454	0.0058	0.1030	0.0304	0.0586	0.0038	0.1681
FREEDOM-sports(883, 0.01, 2, 3, I)	0.05302350759936789	0.45567527960487336	0.16441724105578812	0.6731160282600294	0.0220	0.0277	0.0094	0.0428	0.0254	0.0361	0.0076	0.0687	0.0294	0.0456	0.0054	0.1023	0.0314	0.0584	0.0035	0.1663	0.0220	0.0277	0.0094	0.0428	0.0254	0.0361	0.0076	0.0687	0.0277	0.0448	0.0057	0.1023	0.0298	0.0583	0.0038	0.1691
FREEDOM-sports(883, 0.01, 3, 2, I)	0.050987674138340065	0.23603372087635788	0.23570726675985185	0.5227286617745498	0.0219	0.0272	0.0091	0.0410	0.0252	0.0354	0.0073	0.0661	0.0287	0.0448	0.0054	0.1013	0.0306	0.0570	0.0034	0.1622	0.0219	0.0272	0.0091	0.0410	0.0252	0.0354	0.0073	0.0661	0.0277	0.0446	0.0057	0.1014	0.0297	0.0576	0.0037	0.1655
FREEDOM-sports(883, 0.01, 3, 3, I)	0.06717042713579915	0.32701888703081716	0.32654169193738347	0.7207310061039998	0.0219	0.0274	0.0092	0.0418	0.0253	0.0358	0.0075	0.0675	0.0286	0.0446	0.0053	0.1002	0.0306	0.0574	0.0035	0.1642	0.0219	0.0274	0.0092	0.0418	0.0253	0.0358	0.0075	0.0675	0.0277	0.0447	0.0057	0.1017	0.0297	0.0576	0.0037	0.1656
FREEDOM-sports(883, 0.1, 2, 2, I)	0.049978573878509146	0.31193793788275326	0.2390436634481899	0.6009601752094522	0.0215	0.0269	0.0091	0.0411	0.0248	0.0351	0.0073	0.0661	0.0279	0.0436	0.0052	0.0984	0.0298	0.0556	0.0034	0.1582	0.0215	0.0269	0.0091	0.0411	0.0248	0.0351	0.0073	0.0661	0.0271	0.0436	0.0055	0.0991	0.0291	0.0565	0.0036	0.1626
FREEDOM-sports(883, 0.1, 2, 3, I)	0.0675347978117832	0.40831511379638186	0.4075775749402855	0.8834274865484506	0.0219	0.0272	0.0091	0.0408	0.0252	0.0354	0.0073	0.0659	0.0282	0.0441	0.0052	0.0992	0.0302	0.0563	0.0034	0.1603	0.0219	0.0272	0.0091	0.0408	0.0252	0.0354	0.0073	0.0659	0.0276	0.0443	0.0056	0.1004	0.0296	0.0570	0.0037	0.1633
FREEDOM-sports(883, 0.1, 3, 2, I)	0.054731299138884304	0.4611356026430579	0.534108561120169	1.0499754629021112	0.0213	0.0267	0.0090	0.0408	0.0245	0.0346	0.0072	0.0647	0.0275	0.0428	0.0051	0.0962	0.0294	0.0548	0.0033	0.1564	0.0213	0.0267	0.0090	0.0408	0.0245	0.0346	0.0072	0.0647	0.0268	0.0429	0.0054	0.0971	0.0288	0.0558	0.0036	0.1606
